,Departure region,Avg delay of all trains on departure
0,Auvergne-Rhone-Alpes,5.505491611664959
1,Bourgogne-Franche-Comte,4.651006347445866
2,Bretagne,3.683638558678267
3,Centre-Val de Loire,1.9233172569600072
4,Grand-Est,2.6572009956835307
5,Hauts-de-France,3.02505688929239
6,Ile-de-France,2.3295953747078424
7,International,3.6650408755872075
8,Nouvelle-Aquitaine,3.1990567014048095
9,Occitanie,4.047673862188718
10,PACA,3.08118731203434
11,Pays de la Loire,3.7151653357659282
