,Arrival region,Avg delay of all trains on arrival
0,Auvergne-Rhone-Alpes,6.235325605017554
1,Bourgogne-Franche-Comte,3.6263613763538287
2,Bretagne,5.333005779379795
3,Centre-Val de Loire,3.266104019537893
4,Grand-Est,4.120430742263532
5,Hauts-de-France,6.658876782354701
6,Ile-de-France,6.059392886438486
7,International,7.351604021852066
8,Nouvelle-Aquitaine,4.559353736343554
9,Occitanie,6.968789173209132
10,PACA,7.562099234596522
11,Pays de la Loire,4.652911068424225
