,Station name,UIC code,Total travelers 2023,Total travelers 2022,Total travelers 2021,Total travelers 2020,Total travelers 2019,Total travelers 2018,Total travelers 2017,Total travelers 2016,Total travelers 2015
0,Abancourt,87313759,77974,71517,51811,32396,42685,40228,43760,41096,39720
1,Agde,87781278,757491,689202,561160,394380,542288,588297,697091,660656,662516
2,Agen,87586008,1640325,1540511,1184007,860964,1211323,1109199,1194455,1141620,1183150
3,Agonac,87595157,9537,6468,4119,3271,2538,1492,1583,1134,1127
4,Aguilcourt - Variscourt,87171702,13464,13197,12294,10436,8796,6155,7368,8979,9821
5,Aigrefeuille le Thou,87485193,61127,51200,32989,24987,31170,18670,14513,266,0
6,Aiguillon,87586693,152744,133450,106764,89616,109094,92690,96909,90187,92826
7,Ailly-sur-Somme,87313098,158414,133695,112866,105120,134750,126145,130664,123926,130027
8,Aix-en-Provence,87751404,776483,603811,276414,189752,542347,769147,1106279,998093,1011615
9,Aix-en-Provence TGV,87319012,3697010,3739796,2916645,2059068,3594151,3597729,3699076,3403078,3388402
10,Albias,87613398,30476,26119,19376,11378,11386,8780,11579,9415,10586
11,Alet-les-Bains,87615187,76,266,118,115,121,96,103,94,95
12,Alleyras,87731885,2059,1931,1447,949,1310,1013,812,598,510
13,Amagne - Lucquy,87172262,87838,69618,48289,38365,52065,48163,47918,37854,40539
14,Ambazac,87592311,44786,35478,28521,25184,27893,25961,30597,31750,34127
15,Amboise,87574343,834653,784419,528945,380263,589710,556255,560417,513690,518284
16,Ambérieu-en-Bugey,87743716,1404224,1334530,1043483,838327,1254920,1168627,1223516,1188233,1195489
17,Amifontaine,87171744,17239,15468,14165,13302,14722,15470,15485,12624,11071
18,Amplepuis,87721035,329325,314879,245200,206265,317136,276412,317836,298064,289331
19,Anché - Voulon,87575332,18386,15283,10031,7457,9770,8847,9727,11143,13583
20,Andelot-en-Montagne,87715102,31549,25960,9982,4698,5782,4050,6806,9288,9918
21,Angoulins sur Mer,87485102,16334,14777,10878,7140,11349,9187,16213,15996,14955
22,Angoulême,87583005,2218965,2198301,1516910,1111740,1826364,1712440,1835079,1688713,1717696
23,Annecy,87746008,3000715,2817701,2127405,1562888,2334077,2209179,2390892,2216925,2235873
24,Antibes,87757674,3153616,2593610,1865911,1369074,2440877,2105087,2220716,1953102,2016198
25,Anvin,87317255,11319,7494,3630,412,811,2643,12147,18542,19182
26,Arbois,87718155,79029,81446,66112,52302,52202,44352,50131,42298,50090
27,Arengosse,87671479,4233,4371,4360,3870,4562,5591,5917,4859,4315
28,Argenton-sur-Creuse,87597120,206897,199166,145226,118590,153723,128952,134473,126215,136447
29,Armentières,87286146,970659,850773,671188,613551,793833,761726,826628,816834,811472
30,Arnèke,87281121,128509,122187,96189,87107,127818,120466,126380,124209,117986
31,Arpajon,87545467,1516858,1425412,1295988,812586,1725668,1714853,1714359,1677901,1635441
32,Ascq,87286864,22382,17383,12672,9877,16603,18741,17590,14407,14630
33,Aubiat,87734111,8171,7790,5672,5053,8809,7945,6420,4849,4419
34,Aubiet,87611764,14078,12763,10844,7529,10418,7586,9714,7969,8221
35,Aubigné-Racan,87396572,16583,15606,13479,8620,13396,13647,15823,19307,18342
36,Auch,87611749,314646,261165,194599,151588,225670,191987,239210,217086,232730
37,Audrieu,87444059,25120,20670,14265,10779,15635,14323,16234,16471,16984
38,Audun-le-Roman,87194357,7728,5238,5934,4600,6265,4803,6641,7155,10122
39,Auterive,87611384,389928,356140,301569,258534,343578,316911,396360,394346,410463
40,Avesnes-sur-Helpe,87295733,146849,142784,120372,111552,170792,153358,165722,160636,181071
41,Avignon Centre,87765008,2982128,2775924,2067055,1279138,2301960,2158528,2575499,2341921,2309025
42,Avignon TGV,87318964,4179142,4160030,3124201,2154016,4094962,3685875,3899905,3836804,3865578
43,Aéroport Charles de Gaulle 2 TGV,87271494,15394518,12949183,6281244,5011999,15227840,14907773,14649835,13534634,12976556
44,Bains-les-Bains,87144147,5336,3181,1788,1965,2801,2384,3047,3918,4001
45,Ballancourt-sur-Essonne,87681437,426642,400923,437411,261589,485406,498440,515230,521401,525543
46,Bandol,87755223,368416,350366,289858,220175,324916,304322,340862,315616,306604
47,Barenton-Bugny,87297291,11265,11089,9498,6211,6141,8608,11174,10665,9537
48,Bas - Monistrol-sur-Loire,87726778,106723,106606,72874,55120,102476,82163,65736,91221,98801
49,Bas Évette,87184200,11577,11503,6392,3614,6821,5387,6267,5992,6166
50,Base Aérienne,87699223,2714,2079,659,95,0,0,0,0,0
51,Bassens,87581850,66764,60486,38136,23363,39149,24017,18450,13262,16097
52,Beau Marais,87317610,3364,5302,5232,3180,2990,2191,3080,1828,1292
53,Beaulieu-sur-Mer,87756379,620108,525707,396883,329716,580072,501699,541376,461285,452775
54,Beautiran,87582700,379553,345518,252152,189370,275136,235945,220784,202064,178820
55,Beillant,87491076,347,112,27,55,89,11,200,205,396
56,Bellac,87592485,35242,33299,24849,16307,26216,23075,34347,36090,32527
57,Belle-Isle - Bégard,87473165,3544,2405,2760,2286,1711,1700,2129,2125,3489
58,Bena Fanes,87784892,65,86,46,23,78,33,4,10,2
59,Bergues,87281105,180746,164790,127268,125757,202757,178905,181696,170474,179040
60,Bernay,87444299,616334,544544,401880,336799,477308,447200,484156,465550,484258
61,Bessancourt,87276642,800955,796219,693514,340303,737892,707523,700747,668488,635190
62,Beuvry lès Béthune,87342402,13296,12518,10410,7478,16102,12855,13702,12758,14810
63,Beynost,87723544,267635,244377,176189,137011,213302,198025,202058,185736,181868
64,Bibliothèque François Mitterrand,87328328,24461616,22986683,10119704,11758713,27828914,28137619,28540419,28385788,28099826
65,Bischheim,87212308,50471,56883,41226,32597,52507,46267,45637,47310,43357
66,Bischoffsheim,87214296,124307,118917,102113,92984,133047,122565,122728,122510,127673
67,Bièvres,87393546,375094,352463,280066,172854,426162,444063,467275,481167,493181
68,Blanquefort,87581728,133915,154755,124846,100168,159082,112764,103648,98420,116395
69,Blesme - Haussignémont,87174326,27,63,202,262,77,295,307,177,110
70,Bogny-sur-Meuse,87172049,86934,79860,73125,66622,65702,64059,68922,68443,73728
71,Bois-Colombes,87381079,5150893,5302890,4906735,1956992,5459393,5453024,5474708,5106507,5307858
72,Boisset,87645184,474,368,78,13,61,58,82,120,174
73,Bondy,87113407,15540271,14605023,11082849,7412905,12574385,12799616,13024968,13017323,12955985
74,Bonnemain,87478065,8888,5434,3107,3261,4671,4713,7397,8156,6891
75,Bonnières-sur-Seine,87415893,821412,771930,619227,278424,636589,665715,713057,749898,789125
76,Bons-en-Chablais,87745596,220121,188299,134724,90360,104878,93004,120032,105884,101953
77,Boucau,87673095,14525,10269,9876,5206,8764,6848,6094,5767,7913
78,Bourg-Saint-Maurice,87741793,432419,433350,204591,246215,369133,344666,345929,347270,335530
79,Bournezeau,87486324,1988,2252,1058,320,949,729,573,716,1587
80,Boutigny-sur-Essonne,87681478,153520,144265,151469,91214,174695,183549,193710,200565,206851
81,Brandérion,87476242,15066,11356,6799,7003,8446,3550,2015,1601,2008
82,Brioude,87734269,109121,110941,79521,61464,95704,77937,93356,82274,87560
83,Briouze,87448084,57305,54629,31297,24431,37420,34356,35494,34775,32692
84,Brou,87394452,88456,115264,83512,64559,80996,74844,76016,70824,74059
85,Broye,87694166,3590,6581,5014,5732,4836,6919,7856,6225,5896
86,Brumath,87212134,693528,598702,486002,423151,619310,563815,565974,522294,492583
87,Brunémont,87345439,3057,3077,1600,1376,3148,3269,3335,3496,4370
88,Bruz,87471037,228627,214043,145999,119298,166368,130109,120054,108094,106113
89,Bréauté - Beuzeville,87413344,769085,674677,471118,393317,595924,514962,516073,486612,497138
90,Bugeat,87592162,10215,7024,5689,4761,7502,5992,5810,5815,7142
91,Bully - Grenay,87342105,127427,121994,106125,99295,181839,174904,198058,196459,204688
92,Buno - Gironville,87681510,53326,50110,42004,34449,60666,64001,68182,70957,74127
93,Busigny,87296244,73720,66529,56192,44422,56535,49018,55333,50415,54060
94,Bègles,87581801,51657,38020,33584,24877,34296,27100,24941,18524,22853
95,Bécon les Bruyères,87382002,10588016,10762906,8732029,4409499,10269355,10508412,10854104,11036425,11668320
96,Béthune,87342006,1690091,1601485,1275459,1134785,1838636,1744515,1844883,1775966,1827943
97,Béziers,87781005,1732904,1490704,1192730,831286,1129019,1214111,1441893,1374338,1257794
98,Calais,87317263,1212461,1173143,923165,757575,998639,895183,982337,999319,1074918
99,Calonne-Ricouart,87342543,33978,30702,20684,9333,54456,57276,65520,72788,70921
100,Carhaix-Plouguer,87473504,63836,59351,43661,29538,34270,44750,59810,60746,65011
101,Carmaux,87615625,140409,118263,87641,62788,84973,76308,96438,89990,100213
102,Carry-le-Rouet,87753566,91010,80178,55665,40959,80636,73731,83910,78019,87905
103,Casino Lacroix Laval,87208553,20079,20337,13453,9241,21010,17487,21500,18331,20468
104,Caudéran Mérignac,87581538,51052,51415,47306,38370,72314,55965,60107,40743,47128
105,Cavaillon,87765503,223401,216537,178501,124208,199358,172495,193612,181721,193683
106,Cavignac,87491217,81007,72739,53449,40871,55349,44820,39048,31594,30154
107,Cazères,87611079,236920,205782,161091,123606,152020,132125,171050,163036,169960
108,Ceintrey,87141572,4320,2568,2490,1425,669,3344,3022,3394,4802
109,Cenon,87581595,949066,820456,582597,433419,674888,503076,462412,375609,348409
110,Cergy Préfecture,87381905,12719391,12677261,8443663,5992100,12236286,12279673,12347999,12213175,11996226
111,Cernay (Val-d'Oise),87276063,2800451,2643784,2505968,1248094,2994643,3036288,3047339,3026905,2993023
112,Cesson-Sévigné,87334490,182461,166593,107038,97045,145459,119278,117985,124095,129342
113,Ceyzériat,87743302,5776,5267,3769,3169,6762,4123,4694,4885,4297
114,Chabanais,87592873,180,0,0,16,2255,3850,7182,6541,6885
115,Chabenet,87597112,187,135,121,155,87,95,115,80,99
116,Chamousset,87741231,44861,38042,29576,22831,25795,27915,32484,28457,26523
117,Champagne-sur-Seine,87682450,523805,428217,415355,237145,518423,505753,497079,478155,457828
118,Champagney,87185348,57942,69916,52818,52119,52227,44324,46864,43374,43545
119,Champagnole Paul-Émile Victor,87352047,2663,2499,2650,1507,2545,1571,4248,5910,6323
120,Champigneulles,87141085,22816,24859,17742,12645,14994,11239,9340,13210,18940
121,Champigny sur Yonne,87683128,102737,98611,74932,57749,80015,53895,58963,58208,63772
122,Chapeauroux,87734343,1527,1454,1153,611,707,500,500,464,311
123,Charbonnières-les-Bains,87721530,247616,252635,212581,182340,252754,241958,253010,235456,226585
124,Chasseneuil-du-Poitou,87575225,20844,18022,11727,8414,13325,11034,10107,9360,9702
125,Chaulnes,87313478,142192,116268,96116,66093,85930,81548,92924,92898,96724
126,Chaville Rive Droite,87382333,2329364,2352461,1996585,849953,2409913,2355862,2314358,2233621,1907117
127,Chaville Rive Gauche,87393207,1088062,769094,690862,504285,932646,1000355,1067926,1123009,1180143
128,Chemillé-en-Anjou,87484246,184247,160348,116463,90698,156909,145513,171319,165826,177670
129,Chevillon,87175117,3835,2628,2911,1822,1416,1571,1193,1393,2683
130,Chilly-Mazarin,87393637,902688,848244,455942,343304,1027095,1025321,1033197,1018999,998852
131,Chinon,87571687,164710,174059,123472,107852,139060,118423,125882,120107,125376
132,Chorges,87763425,28967,26842,19939,13473,26500,24056,30826,28090,32345
133,Châteaubourg,87471524,628424,548808,389297,358738,465229,417333,419143,401892,390234
134,Châteaubriant,87481648,170704,156378,96784,73765,125046,120640,133107,129647,132640
135,Châteaudun,87545756,209757,180998,126726,85850,119897,97281,100024,98778,109346
136,Châteauneuf-sur-Charente,87491506,45300,48173,31666,36591,56387,48544,51176,48921,47548
137,Châtellerault,87575142,623414,575537,444099,337286,491606,453838,519242,506257,525794
138,Chépy - Valines,87317495,107,207,235,235,2897,5618,6434,7417,7049
139,Cires-lès-Mello,87313551,130883,112440,90708,69824,96422,87462,98692,100360,106980
140,Civrieux-d'Azergues,87721746,2570,4821,4208,4584,6347,6617,8588,5739,5073
141,Cize - Bolozon,87743344,1447,1145,916,964,1481,477,586,906,2132
142,Clamart,87391565,2234725,1725465,1449316,931145,2089944,2298488,2528160,2734253,2936829
143,Clichy - Levallois,87381129,10515535,11232100,9184506,4471252,11275885,10863687,10745166,10573894,8018296
144,Cloyes-sur-le-Loir,87574509,21144,19900,15729,11071,14659,11289,11580,12263,14041
145,Colomiers,87611467,288670,245429,207456,182167,239697,246880,310686,295124,311046
146,Combs-la-Ville - Quincy,87682146,3385581,3181458,3058556,1834253,3851637,4008207,4197319,4308161,4396308
147,Compans,87272047,35537,35359,33426,19210,38205,40000,39917,41082,40731
148,Conches-en-Ouche,87387159,58545,47956,37186,48376,88186,96123,104160,97605,101292
149,Condé-sur-Huisne,87394288,24342,24077,21903,15963,15552,12395,13533,16329,18717
150,Corbigny,87696617,8597,8237,4451,3962,6542,4865,5091,4664,4394
151,Cordes - Vindrac,87613802,16583,13406,9103,6466,9138,7395,9472,8567,9877
152,Cormery,87571430,41175,127431,109099,77824,97289,101215,109468,117239,121990
153,Coron de Méricourt,87345132,18002,17698,14460,12501,33746,33675,35421,31557,30520
154,Couilly - Saint-Germain - Quincy,87116731,110417,84535,110500,9391,102343,103334,104909,104449,103643
155,Couiza - Montazels,87615203,406,698,735,526,667,593,623,535,577
156,Courtalain - Saint-Pellerin,87394494,4479,7012,5631,3804,4511,4586,4140,5170,5739
157,Courville-sur-Eure,87394221,435138,478799,337356,246509,326100,301967,297098,292795,307355
158,Coutances,87447110,211111,185838,126086,89347,132814,124199,147753,144214,161247
159,Couëron,87481804,66646,57885,42387,33555,56980,46990,37526,32029,32373
160,Crépieux la Pape,87723502,38747,33242,18486,5478,9378,6463,7130,6194,7511
161,Créteil Pompadour,87608802,6823684,6412258,6072149,1904409,7763379,7588995,7375710,7064928,6748141
162,Cérons,87582742,430947,382657,280802,217265,305309,256860,233554,212203,196905
163,Dannemarie - Velesmes,87718312,30720,40026,35449,30667,24692,21128,25444,28129,26559
164,Daours,87315044,33546,31621,28044,27157,31699,26769,28859,28036,26913
165,Dardilly Le Jubin,87721449,19697,29672,32148,29694,38983,39246,42798,45995,53696
166,Dardilly Les Mouilles,87721480,20221,26156,23023,21457,23821,23723,19482,19157,11502
167,Decize,87696484,83999,100407,74071,61224,94895,78441,94386,90908,101184
168,Delle,87184440,32269,31341,19250,17348,25996,1250,0,0,0
169,Deuil - Montmagny,87276345,3040947,2982566,2557225,891849,3089529,3127940,3147953,3255886,3351403
170,Deville,87172064,34834,32295,28179,22128,24336,20934,24211,25000,28099
171,Dissay,87575191,34477,31250,24292,23302,25212,25892,26942,26808,27494
172,Distroff,87191320,21377,25900,25583,17999,16867,18734,23789,24275,25644
173,Dives-sur-Mer - Cabourg,87444414,24930,26502,20250,14684,27525,20593,26720,24560,26357
174,Domont,87276436,2505145,2515498,2377492,1238904,2620960,2694723,2673396,2710479,2734396
175,Douai,87345009,3221478,2964246,2312445,1960495,3049203,2823221,2974200,2863936,2908863
176,Dourdan,87545525,836709,786264,699773,335576,951888,930666,917332,890369,866000
177,Drusenheim,87212357,133896,127999,97109,86913,124088,113943,112821,111854,114014
178,Duppigheim,87214536,101787,92523,88012,72738,111178,113985,114495,116104,111309
179,Duttlenheim,87214544,169940,158982,134801,122028,185177,164186,163739,161498,162140
180,Dégagnac,87613174,555,382,697,267,215,151,308,347,352
181,Eichhoffen,87214239,10232,11178,10149,8899,13322,10526,14473,16648,17520
182,Elne,87784207,83129,76307,58495,36863,65786,64944,78349,67193,73536
183,Entraigues-sur-la-Sorgue,87765826,79989,75136,59518,39335,79583,77547,93044,54435,31693
184,Estrées-Saint-Denis,87313387,64751,57584,47579,35533,49403,43288,45439,45473,46836
185,Exideuil,87592881,0,0,0,0,0,0,79,288,834
186,Feurs,87726877,174287,172283,143964,117116,185891,166886,188574,165252,181429
187,Feyzin,87722538,117300,113217,91064,71050,110781,114000,124084,117895,123307
188,Firminy,87726729,236609,230206,176539,133279,252108,213812,288912,215058,246647
189,Flers,87448001,155659,144527,99533,77154,126812,118812,126503,125648,121625
190,Foix,87611616,318840,283007,194264,118940,215707,181705,227901,221001,246977
191,Fons - Saint-Mamert,87775379,16519,13997,14083,11709,23178,19029,18184,15647,12214
192,Fontainebleau - Avon,87682211,4395905,3194698,5827647,1999331,3867663,3985604,4105860,4145407,4182635
193,Fontan - Saorge,87756858,5783,4980,1692,2583,5109,4716,7217,5247,4650
194,Fouday,87214734,13105,11309,8889,8789,10791,11128,12098,11868,14159
195,Fourmies,87295048,177248,169985,128968,116402,187071,175997,188906,186154,202884
196,Fraisses - Unieux,87726737,2030,1337,548,181,527,434,149,808,943
197,Froncles Buxières,87142240,51324,46809,44133,37461,36457,33271,34600,32376,33672
198,Frynaudour,87473876,1142,735,254,208,625,695,165,159,607
199,Frépillon,87276659,376179,363719,316578,92066,353741,359839,349908,332173,314068
200,Fécamp,87413542,205329,176364,135810,107655,162037,136324,134107,83873,95219
201,Gallargues-le-Montueux,87775130,18477,17500,16323,8776,7596,6312,6156,5696,5207
202,Garancières - La Queue,87393439,339637,273442,266885,147010,328859,326533,330655,325044,321234
203,Gardonne,87584235,43807,38203,29751,21890,22457,38151,43953,37293,33820
204,Gignac - Cressensac,87594325,512,276,154,39,116,436,859,1228,1534
205,Gièvres,87576876,62989,72650,62263,46244,56134,49554,53522,55532,53581
206,Gourdon,87613141,169477,130100,103255,75932,96737,84878,97678,97145,100610
207,Gournay - Ferrières,87381293,8097,8298,5111,3045,7125,10094,13094,10654,13070
208,Gretz-Armainvilliers,87116012,885284,832033,662867,436595,881676,904863,930677,938758,943338
209,Grésy-sur-Aix,87746107,107274,92911,69400,53176,69592,60119,65582,61292,67310
210,Guéthary,87673459,47682,38627,30445,20561,27590,18887,21347,18830,18061
211,Ham,87313494,181300,175319,144889,94874,128871,122867,129850,123586,132877
212,Haute Picardie TGV,87313882,337464,320142,268474,197582,375044,376257,408708,365688,369361
213,Heilly,87316059,12358,8233,6721,4490,5151,3945,4278,4628,4917
214,Heming Mairie,87215145,512,379,148,84,339,281,165,308,564
215,Hennebont,87476259,173915,153087,107506,81304,120366,99670,108628,104904,106043
216,Herny,87193383,9243,8312,6950,5431,8999,8589,10210,11525,12662
217,Hochfelden,87212167,257703,250777,204202,180350,231331,206165,218011,208774,210098
218,Hombourg-Haut,87193276,15670,12961,8963,6757,10604,7687,9175,5873,4927
219,Houdemont,87141473,13353,11588,9155,6841,7963,6689,5519,4059,5255
220,Houlgate,87444406,15045,14635,11758,8614,15283,12321,14587,14006,14511
221,Hymont - Mattaincourt,87144220,0,0,354,761,1058,928,695,1496,1537
222,Ingrandes sur Vienne,87575134,10058,5761,4682,4722,6006,5013,4789,4683,3017
223,Issoire,87734202,552083,501158,414593,361776,504733,424410,468302,437837,455912
224,Issé,87481622,29195,26374,19007,14172,20099,19694,24814,21193,21166
225,Jarrie - Vizille,87747535,16068,18757,12009,9411,17869,12850,15895,16778,29168
226,Jaux,87272013,12901,11822,8175,5339,9771,10167,11773,11966,13886
227,Jœuf,87191700,43872,42342,33378,26881,37612,30885,37144,34647,35302
228,Kogenheim,87214114,36793,29617,24428,22068,28436,24598,26817,29731,31420
229,L'Ariane La Trinité,87751529,33081,31761,23030,15559,31204,23898,23129,17609,14802
230,L'Estaque,87751602,134120,114582,83389,45211,76570,60832,76554,65513,64348
231,L'Etang les Sablons,87726109,148199,70338,0,0,0,0,0,0,0
232,L'Herbergement - Les Brouzils,87486126,148991,120199,80849,64010,97831,90305,89563,82761,73687
233,L'Hermitage - Mordelles,87471060,60286,55145,37499,30059,45614,38393,39823,41127,41392
234,L'Isle-sur-le-Doubs,87184572,125662,123373,96931,86730,106385,87144,89119,83533,92421
235,La Barasse,87635581,8091,13658,10255,7390,10851,8554,7963,5171,4047
236,La Bastide - Saint-Laurent-les-Bains,87775171,30028,26451,21510,13692,23374,24742,26453,31174,35358
237,La Baule Les Pins,87481697,40000,35086,35611,23454,28368,21261,18698,13785,15448
238,La Bourboule,87641464,52,12072,11256,6258,9000,8185,9428,8857,10913
239,La Brigue,87756874,3945,4102,1633,2044,3758,2694,3516,2757,3035
240,La Cave,87595215,4,1,3,4,8,5,22,20,330
241,La Chaize-le-Vicomte,87486308,1686,1616,191,557,3890,4720,3762,3177,4219
242,La Couronne,87583617,364,0,0,0,0,0,0,0,0
243,La Défense,87382218,28148302,35649320,24737930,6688269,30264172,29752335,29470800,28638151,28392626
244,La Ferté-Milon,87116673,127956,133587,99496,72807,128417,119892,118228,120942,123281
245,La Ferté-Saint-Aubin,87543124,226786,216954,140784,100161,148325,139251,146434,139351,137115
246,La Fouillouse,87726232,11785,13394,7312,5484,9693,6627,7385,5073,7065
247,La Frayère,87757740,107066,98979,83335,45627,84814,58456,28316,57061,54379
248,La Grave d'Ambarès,87491274,30196,29282,24690,16470,15736,14632,15121,16509,16367
249,La Guerche-sur-l'Aubois,87576470,43456,44444,33282,32199,36367,28453,31303,29628,27400
250,La Hisse,87478156,724,1143,1639,1385,835,1753,2416,1964,1908
251,La Loupe,87394254,550963,550406,407134,319998,384503,350924,360154,359163,365054
252,La Mothe-Saint-Héray,87485508,3910,3675,2231,2267,3355,1888,2481,2661,2827
253,La Méaugon,87473124,15,86,546,803,672,141,9,7,45
254,La Pomme,87751719,9861,14500,14168,8093,8213,5903,7603,5644,4165
255,La Ricamarie,87726703,15989,13937,8736,5261,10351,7720,9797,9443,11867
256,La Rivière-Drugeon,87715144,19451,30392,28364,26061,24754,23125,23565,18742,17667
257,La Roche-sur-Foron,87746305,612130,547357,373942,245508,371253,344195,380270,372662,374750
258,La Souterraine,87592378,203529,172888,129769,104126,190754,179872,200013,186234,194093
259,La Verrière,87393256,3984511,3416383,1913278,1785924,4138664,4420623,4756541,5019988,5270556
260,La Ville Gozet,87641191,292,466,719,635,453,321,328,411,777
261,Labenne,87673293,62827,55399,37101,26661,40509,30245,30003,27794,27985
262,Laifour,87172072,13094,12363,12973,12463,13098,13466,13866,14169,15579
263,Laigné - Saint-Gervais,87396556,30452,23092,15266,11899,37997,45629,48473,50839,46203
264,Lalbenque - Fontanes,87613323,35977,31861,20139,12762,8564,5380,7844,7333,7450
265,Lalinde,87584441,32349,31670,22715,14034,14540,22985,22235,20266,22561
266,Lamballe,87473108,668255,611161,454645,348871,493303,444534,440120,419407,415735
267,Lardy,87545160,373725,351191,332153,205073,425172,432949,444831,446652,447043
268,Laroquebrou,87645135,4387,3741,2626,2638,3527,3546,3815,4322,5164
269,Lauterbourg,87212464,33017,26775,17697,15414,25742,21638,24950,22610,23136
270,Le Bousquet-d'Orb,87781583,3220,2364,1217,663,1053,965,666,845,1279
271,Le Bugue,87595744,13311,10534,7644,6303,11454,10156,13123,13423,12367
272,Le Burg,87594614,2180,806,854,275,217,412,465,243,517
273,Le Genest-Saint-Isle,87478743,23415,22134,16978,13634,33964,48174,48536,49447,49794
274,Le Haut Banc,87316687,1658,1359,1804,2705,4388,4759,6494,6223,6543
275,Le Lioran,87645473,16077,11384,9536,6284,16717,22312,23083,29538,25580
276,Le Mans Hôpital-Université,87743872,10061,0,0,0,0,0,0,0,0
277,Le Molay-Littry,87444083,42160,30875,20340,16827,21046,19002,21613,23463,23771
278,Le Pallet,87481424,267132,222970,164346,141363,209169,183384,184442,160224,147182
279,Le Plessis Chenet,87681627,35394,33260,36744,10114,40266,41814,43875,45020,45980
280,Le Plessis-Belleville,87271551,784687,727692,577290,378693,685068,615627,622553,521190,490294
281,Le Pont-de-Claix,87747519,9141,9227,7025,4685,9383,5805,8034,8184,12466
282,Le Puy-en-Velay,87734699,302604,288773,235197,167756,272218,232241,206755,238506,251698
283,Le Thor,87765453,47029,42532,33501,23166,39760,38304,44403,42567,49717
284,Le Vieux Briollay,87484139,25140,18059,14515,16718,22877,20784,21836,19947,20489
285,Leforest,87345223,225241,226347,189079,186332,270847,239341,248146,224614,222919
286,Lens,87345025,1682652,1548857,1160857,995465,1603634,1495770,1649166,1603612,1599323
287,Les Bons Pères,87297515,1318,554,903,1569,1919,1004,1068,787,1070
288,Les Houches,87746743,19247,22571,17801,14700,19061,19264,22584,22390,19240
289,Les Laumes Alésia,87713115,198197,187359,146922,136224,167251,159684,172023,156184,166751
290,Les Ormes,87575118,5622,5174,3648,2261,2882,2501,2828,2355,3146
291,Les Saules,87546226,1096211,1030114,1131310,548437,1247139,1281314,1318722,1333471,1345018
292,Les Vallées,87386300,4797717,5077252,4068322,2124124,4283672,4280459,4265730,4185281,4079450
293,Lestelle-de-Saint-Martory,87611111,557,355,551,517,312,273,867,1146,1710
294,Lexos,87613489,16520,14578,9756,6112,8511,6027,7007,5923,5148
295,Lezennes,87287102,1855,644,582,532,1207,1274,1447,1466,1311
296,Libourne,87584052,1784433,1690650,1311984,986092,1468974,1239181,1329200,1317070,1286991
297,Liesle,87718130,11345,10785,8761,8911,7137,4209,5420,7003,8435
298,Lieusaint - Moissy,87682153,5153501,4842725,4406661,2918963,5862953,5887369,5928369,5859154,5757090
299,Lille CHR,87109306,349246,312323,209963,192628,287018,239606,239655,219877,216828
300,Lille Porte de Douai,87287250,36478,34090,26591,19925,31099,27727,23505,21321,19537
301,Limeray,87574335,10038,12253,9055,7270,6352,6059,7245,7486,7109
302,Lingolsheim,87214502,75809,70732,61224,51849,69740,61627,63737,78643,78967
303,Lisle-sur-Tarn,87615310,108863,102884,80808,61130,75711,64558,83085,78875,75961
304,Lison,87447219,233066,222846,133948,95100,170736,190364,223467,209488,227865
305,Livron-sur-Drôme,87761247,95840,82275,53716,41665,61938,48642,54515,45918,45386
306,Loches,87571471,149223,184591,191929,196188,231758,220117,214429,222283,224545
307,Logelbach,87182345,37333,34475,28695,22194,36187,32443,31769,31194,36040
308,Longpré-les-Corps-Saints,87313122,164696,135919,107984,95828,140421,140244,155214,148203,147432
309,Lons-le-Saunier,87718239,385481,412898,318419,255434,339975,327804,371572,343976,354204
310,Loos lez Lille,87286112,47194,42385,30951,24225,40088,28581,29733,27143,28504
311,Loriol-sur-Drôme,87761262,94347,79347,56630,39667,62121,45255,51460,47475,55570
312,Lothiers,87597104,202,52,39,45,388,752,980,1088,955
313,Louvres,87276253,1980516,1860250,3739057,919807,2253078,2235303,2232729,2183957,2127635
314,Luant,87597096,1743,1741,1387,655,107,30,268,755,924
315,Luc,87734368,2069,729,633,370,437,228,392,195,113
316,Luc-la-Primaube,87615773,12708,11661,7686,5253,6669,4749,5014,4560,5019
317,Lunel-Viel,87773424,12785,11407,10535,4838,5517,4499,6012,7438,9316
318,Lunéville,87141150,1055305,963743,791746,651634,937483,898730,918474,877566,923786
319,Lyon Gorge de Loup,87721175,674786,682949,556769,456395,698192,646409,669745,567666,519710
320,Lyon Jean Macé,87282624,1578497,1473871,1123438,817489,1181281,857555,775892,634720,590918
321,Lépanges,87144048,858,1992,1429,570,1703,3741,4271,4202,5395
322,Machecoul,87481366,111610,96863,71593,54369,79509,66000,68551,61895,48422
323,Magnac - Vicq,87592279,19854,14975,11895,13287,13498,13083,12782,11319,14010
324,Magneux - Courlandon,87400986,23535,20269,17061,15304,14861,17563,24648,25897,19094
325,Maintenon,87394130,1353829,1352209,1080974,920336,1232897,1186265,1209835,1207819,1216557
326,Mandelieu-la-Napoule,87757591,151857,131714,91651,67170,121386,100620,140646,119908,133909
327,Marans,87485060,314,378,310,376,843,576,1412,1995,1423
328,Mareil-sur-Mauldre,87381715,106557,70521,76033,39174,85503,82238,79678,75375,71077
329,Mareuil-sur-Ourcq,87116665,92246,107604,82946,62353,114428,105590,104482,98799,90117
330,Marmagne sous Creusot,87694182,43,53,24,113,89,156,96,220,275
331,Marolles-en-Hurepoix,87545186,1266979,1190599,1357659,650678,1441406,1404670,1389667,1341273,1287884
332,Marquixanes,87784629,2636,1783,1419,659,589,385,578,595,567
