,Station name,UIC code,Total travelers 2023,Total travelers 2022,Total travelers 2021,Total travelers 2020,Total travelers 2019,Total travelers 2018,Total travelers 2017,Total travelers 2016,Total travelers 2015
2128,Niederbronn-les-Bains,87213256,213944,211326,151798,105679,128680,129055,128558,131183,129231
2129,Niolon,87753582,74046,65602,44390,27090,34070,29873,31446,29452,34892
2130,Nissan,87781179,0,0,0,0,0,0,0,0,1114
2131,Niversac,87595512,19216,11239,6099,6334,10885,7633,8215,7985,8202
2132,Noirétable,87734509,1000,4847,4110,2830,3782,3037,4416,4846,6966
2133,Notre-Dame de Briançon,87741694,12918,9145,6842,3517,5366,4143,5160,5457,5632
2134,Noyen-sur-Sarthe,87396374,40504,31682,22315,17647,54586,73388,77124,77008,75983
2135,Noyon,87276782,638091,591874,504678,417972,560845,534211,594724,581178,582612
2136,Nyer,87784736,314,281,150,32,113,96,177,236,119
2137,Obernai,87214288,938744,796161,583441,493365,691394,631775,663806,639768,648453
2138,Objat,87594630,19923,17133,10089,5336,7364,4329,6852,5695,7532
2139,Oermingen,87215632,33538,36302,31151,22606,25491,30956,34756,36005,37456
2140,Oissel,87411207,454996,388748,282015,217679,398122,343687,370399,344988,358342
2141,Ollioules - Sanary-sur-Mer,87755231,430331,399110,314754,244590,359553,336111,355715,318763,312150
2142,Onville,87192435,12660,10059,6746,4173,5287,5740,8123,8982,11298
2143,Onzain - Chaumont-sur-Loire,87574319,276247,232704,173634,135772,172742,204359,230640,226387,225555
2144,Orgerus - Béhoust,87393447,263640,184840,156359,99230,223446,223646,225459,223046,219288
2145,Orgon,87753707,24903,22401,18996,12057,14277,9489,9723,9611,9142
2146,Orly Ville,87546200,1584153,1488640,1227173,912297,1802642,1825457,1846200,1835153,1814964
2147,Ossun,87671313,51,151,149,53,198,122,607,510,954
2148,Oyonnax,87743534,128079,125454,108542,81885,102677,89149,93231,98712,103838
2149,Pagny-sur-Moselle,87192468,404152,356716,277764,249760,350240,337660,308256,312330,345327
2150,Parent - Coudes - Champeix,87734194,64958,58237,50538,47895,63985,55894,61344,59023,62453
2151,Paris Bercy Bourgogne - Pays d'Auvergne,87686667,5073990,4764857,3347427,2493266,4318464,3983108,4003278,3702383,3823448
2152,Paris Gare du Nord,87271007,226768485,211698470,126621006,92233317,244744368,244465576,247963153,242273091,238356138
2153,Paris Montparnasse,87391003,64471254,56862435,41039816,32447396,61374056,59174533,57752742,55162747,55167664
2154,Paris Saint-Lazare,87384008,103453620,102910589,91502192,114468385,107340421,108075780,109956754,108771941,107165727
2155,Parsac - Gouzon,87597724,669,349,295,241,343,177,233,344,231
2156,Parthenay,87487173,6,3896,5953,6148,24252,31913,39519,40421,43508
2157,Pas des Lanciers,87753285,114722,115423,88083,71280,119491,111945,135334,132879,161199
2158,Pavilly,87411272,212546,171330,145012,130501,181651,159916,162784,162708,172208
2159,Penhoët,87321745,74474,64777,46245,39787,50651,33875,34382,34666,30736
2160,Pers,87645176,1099,655,504,207,121,57,163,413,411
2161,Pessac,87581751,1150020,1039275,777246,599821,982512,830270,787789,701988,745359
